x: -3.164500, z: 1.002500
x: 0.153571, z: 0.802286
x: 0.330714, z: 0.725857
x: 0.507857, z: 0.649429
x: 0.681619, z: 0.574254
x: 0.852000, z: 0.500333
x: 1.019000, z: 0.427667
x: 1.186000, z: 0.355000
x: 1.353000, z: 0.282333
x: 1.520000, z: 0.209667
x: 1.687000, z: 0.137000
x: 1.854000, z: 0.064333
x: 2.021000, z: -0.008333
x: 2.195333, z: -0.075069
x: 2.377000, z: -0.135875
x: 2.566000, z: -0.190750
x: 2.755000, z: -0.245625
x: 2.944000, z: -0.300500
x: 3.133000, z: -0.355375
x: 3.322000, z: -0.410250
x: 3.511000, z: -0.465125
x: 3.699208, z: -0.512125
x: 3.886625, z: -0.551250
x: 4.073250, z: -0.582500
x: 4.259875, z: -0.613750
x: 4.446500, z: -0.645000
x: 4.633125, z: -0.676250
x: 4.819750, z: -0.707500
x: 5.006375, z: -0.738750
x: 5.187958, z: -0.730667
x: 5.364500, z: -0.683250
x: 5.536000, z: -0.596500
x: 5.707500, z: -0.509750
x: 5.830500, z: -0.389694
x: 5.905000, z: -0.236333
x: 5.931000, z: -0.049667
x: 5.923000, z: 0.111667
x: 5.881000, z: 0.247667
x: 5.805000, z: 0.358333
x: 5.688778, z: 0.438778
x: 5.532333, z: 0.489000
x: 5.335667, z: 0.509000
x: 5.154556, z: 0.504583
x: 4.989000, z: 0.475750
x: 4.839000, z: 0.422500
x: 4.689000, z: 0.369250
x: 4.540833, z: 0.302417
x: 4.394500, z: 0.222000
x: 4.250000, z: 0.128000
x: 4.105500, z: 0.034000
x: 3.947700, z: -0.044067
x: 3.776600, z: -0.106200
x: 3.592200, z: -0.152400
x: 3.407800, z: -0.198600
x: 3.223400, z: -0.244800
x: 3.040800, z: -0.292867
x: 2.860000, z: -0.342800
x: 2.681000, z: -0.394600
x: 2.502000, z: -0.446400
x: 2.323000, z: -0.498200
x: 2.146762, z: -0.551114
x: 1.973286, z: -0.605143
x: 1.802571, z: -0.660286
x: 1.631857, z: -0.715429
x: 1.461143, z: -0.770571
x: 1.290429, z: -0.825714
x: 1.119714, z: -0.880857
x: 0.948857, z: -0.941143
x: 0.777857, z: -1.006571
x: 0.606714, z: -1.077143
x: 0.435571, z: -1.147714
x: 0.264429, z: -1.218286
x: 0.093286, z: -1.288857
x: -0.077857, z: -1.359429
x: -0.247619, z: -1.426238
x: -0.416000, z: -1.489286
x: -0.583000, z: -1.548571
x: -0.750000, z: -1.607857
x: -0.917000, z: -1.667143
x: -1.084000, z: -1.726429
x: -1.251000, z: -1.785714
x: -1.419905, z: -1.827095
x: -1.590714, z: -1.850571
x: -1.763429, z: -1.856143
x: -1.936143, z: -1.861714
x: -2.108857, z: -1.867286
x: -2.281571, z: -1.872857
x: -2.454286, z: -1.878429
x: -2.622179, z: -1.855643
x: -2.785250, z: -1.804500
x: -2.943500, z: -1.725000
x: -3.101750, z: -1.645500
x: -3.226361, z: -1.541167
x: -3.317333, z: -1.412000
x: -3.374667, z: -1.258000
x: -3.403333, z: -1.181000
